Date,temperature,ACPower,date,weekday,time
2019-03-07 07:00:00,24.874000000000002,0.0,2019-03-07,3,07:00:00
2019-03-07 07:05:00,24.922,0.0,2019-03-07,3,07:05:00
2019-03-07 07:10:00,24.932,0.0,2019-03-07,3,07:10:00
2019-03-07 07:15:00,24.928,0.0,2019-03-07,3,07:15:00
2019-03-07 07:20:00,24.92,0.0,2019-03-07,3,07:20:00
2019-03-07 07:25:00,24.95,0.0,2019-03-07,3,07:25:00
2019-03-07 07:30:00,24.95,0.0,2019-03-07,3,07:30:00
2019-03-07 07:35:00,24.966,0.0,2019-03-07,3,07:35:00
2019-03-07 07:40:00,24.98,0.0,2019-03-07,3,07:40:00
2019-03-07 07:45:00,24.851999999999997,1.01,2019-03-07,3,07:45:00
2019-03-07 07:50:00,24.580000000000002,9.76,2019-03-07,3,07:50:00
2019-03-07 07:55:00,24.108,18.72,2019-03-07,3,07:55:00
2019-03-07 08:00:00,23.372,18.54,2019-03-07,3,08:00:00
2019-03-07 08:05:00,22.67,18.43,2019-03-07,3,08:05:00
2019-03-07 08:10:00,22.259999999999998,10.03,2019-03-07,3,08:10:00
2019-03-07 08:15:00,21.663999999999998,10.04,2019-03-07,3,08:15:00
2019-03-07 08:20:00,21.332,10.0,2019-03-07,3,08:20:00
2019-03-07 08:25:00,21.156,9.92,2019-03-07,3,08:25:00
2019-03-07 08:30:00,21.502000000000002,9.98,2019-03-07,3,08:30:00
2019-03-07 08:35:00,21.22,9.78,2019-03-07,3,08:35:00
2019-03-07 08:40:00,21.357999999999997,1.01,2019-03-07,3,08:40:00
2019-03-07 08:45:00,21.474,10.01,2019-03-07,3,08:45:00
2019-03-07 08:50:00,21.572,10.01,2019-03-07,3,08:50:00
2019-03-07 08:55:00,21.506,9.97,2019-03-07,3,08:55:00
2019-03-07 09:00:00,21.45,9.98,2019-03-07,3,09:00:00
2019-03-07 09:05:00,21.304000000000002,9.97,2019-03-07,3,09:05:00
2019-03-07 09:10:00,21.184,10.1,2019-03-07,3,09:10:00
2019-03-07 09:15:00,21.156,10.08,2019-03-07,3,09:15:00
2019-03-07 09:20:00,21.446,9.85,2019-03-07,3,09:20:00
2019-03-07 09:25:00,21.362000000000002,10.19,2019-03-07,3,09:25:00
2019-03-07 09:30:00,21.112000000000002,10.3,2019-03-07,3,09:30:00
2019-03-07 09:35:00,20.956,4.13,2019-03-07,3,09:35:00
2019-03-07 09:40:00,21.258000000000003,1.02,2019-03-07,3,09:40:00
2019-03-07 09:45:00,21.398000000000003,10.37,2019-03-07,3,09:45:00
2019-03-07 09:50:00,21.357999999999997,10.28,2019-03-07,3,09:50:00
2019-03-07 09:55:00,21.218,10.27,2019-03-07,3,09:55:00
2019-03-07 10:00:00,21.166,10.15,2019-03-07,3,10:00:00
2019-03-07 10:05:00,20.926,9.93,2019-03-07,3,10:05:00
2019-03-07 10:10:00,20.962,10.35,2019-03-07,3,10:10:00
2019-03-07 10:15:00,21.032,10.27,2019-03-07,3,10:15:00
2019-03-07 10:20:00,20.895999999999997,1.01,2019-03-07,3,10:20:00
2019-03-07 10:25:00,21.169999999999998,1.0,2019-03-07,3,10:25:00
2019-03-07 10:30:00,21.34,10.7,2019-03-07,3,10:30:00
2019-03-07 10:35:00,21.286,10.22,2019-03-07,3,10:35:00
2019-03-07 10:40:00,21.294,10.18,2019-03-07,3,10:40:00
2019-03-07 10:45:00,20.896,10.0,2019-03-07,3,10:45:00
2019-03-07 10:50:00,21.092000000000002,10.78,2019-03-07,3,10:50:00
2019-03-07 10:55:00,21.032,10.41,2019-03-07,3,10:55:00
2019-03-07 11:00:00,20.812,10.37,2019-03-07,3,11:00:00
2019-03-07 11:05:00,20.784,1.02,2019-03-07,3,11:05:00
2019-03-07 11:10:00,21.086000000000002,10.75,2019-03-07,3,11:10:00
2019-03-07 11:15:00,21.036,10.2,2019-03-07,3,11:15:00
2019-03-07 11:20:00,20.74,10.28,2019-03-07,3,11:20:00
2019-03-07 11:25:00,20.65,10.26,2019-03-07,3,11:25:00
2019-03-07 11:30:00,20.684,10.65,2019-03-07,3,11:30:00
2019-03-07 11:35:00,20.67,10.45,2019-03-07,3,11:35:00
2019-03-07 11:40:00,20.514,1.92,2019-03-07,3,11:40:00
2019-03-07 11:45:00,20.974,1.02,2019-03-07,3,11:45:00
2019-03-07 11:50:00,21.59,0.0,2019-03-07,3,11:50:00
