,forward,backward,noOfSens
0,0.43295959756843977,0.0192755266591824,64
1,0.0122113684523177,0.42590657104094815,81
2,0.4045308282872982,0.024717267070198015,62
3,0.34843095740556373,0.029648044869252963,65
4,0.01971743501381752,0.360688611341252,81
5,0.01853567898124042,0.414379436056501,80
6,0.020145281112439125,0.3463405503567181,79
7,0.191932247275002,0.187246393106146,84
8,0.1709947206368245,0.20219207695971186,56
9,0.028329656645772226,0.32366224494935497,74
10,0.33492528776532865,0.03148259471026627,67
11,0.19352853237087744,0.16901942005246282,83
12,0.15475655416649822,0.20465183006102886,56
13,0.22060698649419674,0.11956188826013593,81
14,0.32133497385086146,0.031486003750707356,68
15,0.23327671090110838,0.11896246379275906,72
16,0.27012200995492597,0.06863398759126386,77
17,0.2931380059861776,0.048262383029422366,75
18,0.19341320571146361,0.1858083696764001,83
19,0.12705923340097156,0.21840424647405143,63
20,0.27873938083294436,0.06631048384635489,77
21,0.23720865530532076,0.09962068619408852,81
22,0.26840470007675754,0.0756074604095406,77
23,0.047731518864475075,0.2975680488215543,72
24,0.15059339572105368,0.21140652434061738,53
25,0.10414993760989555,0.23939515198565078,65
26,0.13573340515120028,0.21802948721835178,62
27,0.23697710689604237,0.10793903002091985,77
28,0.11249417311822933,0.23350337981222102,63
29,0.06404636284779798,0.28335831262624167,74
30,0.04646992258463642,0.3070988477628116,71
31,0.01555961861269422,0.42242497792458195,78
32,0.19719056442090613,0.14852828482224803,79
33,0.0830991417088464,0.26246342133286926,65
34,0.24606463941717646,0.09687485439895271,72
35,0.2518441332760872,0.09200879975057957,74
36,0.09050058237896207,0.25425221340730814,65
37,0.26675608032715087,0.08179957130291056,72
38,0.1204795674159495,0.22704920922323382,68
39,0.19718793877107146,0.1561490355804828,80
40,0.06469211416164661,0.27710177683348586,72
41,0.2986168155218571,0.04526792823240205,73
42,0.21852045042364288,0.12531514752247744,81
43,0.2867407614121988,0.05967166743028402,69
44,0.09804552229526602,0.25392436105080957,61
45,0.21471832495722976,0.133696365346726,79
46,0.19365851564824624,0.16187071177539816,81
47,0.055055322462535194,0.28879137381056164,71
48,0.3196776152030565,0.036465308579227765,69
49,0.16494430313598474,0.203381316514865,57
50,0.03898980983791653,0.3103143112912052,73
51,0.24393849942757947,0.09787829594941592,81
52,0.20186118546848156,0.14677615499314603,77
53,0.14749306032981663,0.21349638748316377,56
54,0.28989317028053724,0.0554692522120785,78
55,0.20476604749715868,0.14300224558038563,75
56,0.315579511325314,0.03755895879102178,65
57,0.2113574803002172,0.14015738331667152,82
58,0.10348594098896473,0.24922475847511286,62
59,0.05920967758114937,0.28585363371197164,75
60,0.08770273665504319,0.2609259757364703,61
61,0.05438314337938913,0.2960921316687088,68
62,0.31212440972885735,0.03981576789117069,68
63,0.30761680595282637,0.04410527026669203,64
64,0.2634285791353985,0.08326525783048357,73
65,0.3022677587100971,0.04501621891542759,66
66,0.10108564543003125,0.25255751515818436,65
67,0.07708672819934471,0.2706852290461012,66
68,0.14152585529379508,0.2174339272488692,62
69,0.21150904023751146,0.1388827269755228,78
70,0.1445406035420104,0.21680991637391842,62
71,0.0731805524151385,0.2720709970942855,67
72,0.07867909571656534,0.2657757819317555,66
73,0.0894272977330088,0.2581940607187892,61
74,0.10771430017867602,0.23600933012209616,62
75,0.03727135245021178,0.31413300779908154,72
76,0.19572769733292952,0.15945329006910897,83
77,0.2824824222075013,0.0636316772365654,66
78,0.12214430172736608,0.22251995202891164,64
79,0.0684101739113279,0.2753082225958582,72
80,0.03371947346284465,0.31937318432890976,74
81,0.03489813222456302,0.31558772812573355,68
82,0.3097272456866185,0.042078125803661166,68
83,0.21624864661013168,0.12730390082761964,78
84,0.234282688339476,0.11325159711029138,71
85,0.2828834383025412,0.06129186258631714,66
86,0.23440723814598888,0.11146134150109838,76
87,0.05211793006535718,0.29616564928329736,71
88,0.21514828764312643,0.13065817436224467,82
89,0.0717051753173515,0.2751702060537408,67
90,0.11746984585920817,0.23112126873556274,60
91,0.2554434958599598,0.08733879489609077,73
92,0.28969566480543013,0.05594058450957063,77
93,0.042977947217790614,0.30819820513527957,71
94,0.11802142481781654,0.23100252404410695,60
95,0.05725939435875297,0.28720100121453,71
96,0.10760609554167024,0.23801907304223838,66
97,0.26095040030325284,0.08630867348278748,66
98,0.012664738377463498,0.42268144722478773,83
99,0.1702352244022032,0.2030677965627754,56
