,forward,installCost,power,backward,noOfSens
0,0.4565654948708584,450.0,60.0,0.020467209129080007,60
1,0.018320299650470804,1350.0,180.0,0.46642589468827106,89
2,0.04872041358626373,2250.0,300.0,0.32161010506578686,75
3,0.44773398349283156,900.0,120.0,0.021100212888431568,63
4,0.2700438192122679,450.0,60.0,0.0681595351676358,73
5,0.07544348237896846,1800.0,240.0,0.280285139077119,71
6,0.02013399866398228,1350.0,180.0,0.4636135199474917,85
7,0.16040632358355225,900.0,120.0,0.20783837603045632,55
8,0.0713006246941973,1800.0,240.0,0.2858415155283065,75
9,0.26063348858790947,1350.0,180.0,0.08037245911421391,72
10,0.029758392095083203,2250.0,300.0,0.3565960226978189,76
11,0.39647359702569135,450.0,60.0,0.021536399310078322,59
12,0.3454531605300996,450.0,60.0,0.022697091059335105,61
13,0.022858054054249222,1350.0,180.0,0.4529283948220775,85
14,0.16966241719124742,450.0,60.0,0.207149783604634,55
15,0.19905133468511113,2250.0,300.0,0.19518994811501136,90
16,0.041333395032035085,450.0,60.0,0.3990843244970362,81
17,0.023092957808289,1350.0,180.0,0.42706078100891226,82
18,0.1441471622995847,900.0,120.0,0.22417300523144998,58
19,0.024238520878738762,1350.0,180.0,0.42290087605783766,81
20,0.11738195695043424,450.0,60.0,0.237822982549978,65
21,0.0799725448576851,450.0,60.0,0.269414655672499,68
22,0.0845258788983957,450.0,60.0,0.263066820452491,69
23,0.13004649633223567,450.0,60.0,0.2270080994899345,61
24,0.2129844579308776,1350.0,180.0,0.16554853124632812,88
25,0.2982788030329695,450.0,60.0,0.049470372070865375,73
26,0.21004362255630446,1350.0,180.0,0.17631188996145974,80
27,0.22106799609374259,1350.0,180.0,0.1361266260775159,81
28,0.2212701217062043,1350.0,180.0,0.12550610055808167,79
29,0.24569213801503453,450.0,60.0,0.1050374217728997,81
30,0.05943365310467375,900.0,120.0,0.3422755834579298,73
31,0.2389067348299738,1350.0,180.0,0.11401664934053223,81
32,0.09571424537923738,450.0,60.0,0.2601070851702489,65
33,0.10696048126636841,450.0,60.0,0.24171830912689776,67
34,0.1267198525838692,450.0,60.0,0.23530104724809578,64
35,0.34355877651720085,450.0,60.0,0.02620773758731035,61
36,0.3073397888046487,450.0,60.0,0.04636657675557204,68
37,0.04146602168605287,450.0,60.0,0.3959605796289725,81
38,0.15448038858448881,900.0,120.0,0.21309480225821567,58
39,0.33199672057791535,450.0,60.0,0.027999699140916146,65
40,0.2034900820106245,2250.0,300.0,0.18348897831187638,88
41,0.2267684348359834,2250.0,300.0,0.12210199011340343,79
42,0.06267102289815056,1350.0,180.0,0.30603028431905344,68
43,0.32260192854466546,900.0,120.0,0.035392611243872205,61
44,0.04605214000857622,900.0,120.0,0.3611335807417355,78
45,0.27443585748390187,450.0,60.0,0.06594505773654631,79
46,0.290566630758798,450.0,60.0,0.05080950544654026,70
