,forward,backward,noOfSens
0,0.011534256796257435,0.4617920311034179,81
1,0.47140517603672666,0.015040934551382003,55
2,0.43888207682491126,0.015948192934456106,58
3,0.020750696078556546,0.3980843409242616,75
4,0.33211642720471174,0.023760178138015356,59
5,0.38091507088977367,0.022606877607959878,59
6,0.20220794135649037,0.16882427981057077,80
7,0.17267157848463324,0.19473706043873987,60
8,0.3874974646911317,0.01884838463940307,58
9,0.01868085366037616,0.43484992726694854,80
10,0.052771602700429264,0.2958972979285133,65
11,0.2546572845102449,0.09399868983589114,72
12,0.024746124299393893,0.37486875082805443,75
13,0.07107836489924113,0.2698811061074813,71
14,0.16958311352302424,0.20000794572374367,59
15,0.06689467247900259,0.29147899359317003,66
16,0.23962661006619357,0.1141040878025279,80
17,0.14871346248023246,0.20007541561921557,65
18,0.06904126756803793,0.28550803994113577,66
19,0.2517557504110144,0.1103239719855882,73
20,0.028477318666887918,0.3633577348532677,75
21,0.234376307612038,0.12530410616478196,71
22,0.08055889401949258,0.26061659308192087,65
23,0.21383349845176958,0.1539107157108298,72
24,0.09971110964945257,0.24797412663916388,75
25,0.03078964809979288,0.3493956546039692,77
26,0.2680401011981796,0.0752148601111045,71
27,0.321505175571992,0.028693738367550962,66
28,0.09333650247004859,0.2546824554472829,65
29,0.07821880259576025,0.26662552016567964,70
30,0.2154596327543142,0.14372777941897455,83
31,0.08766499329729403,0.2549659100146363,68
32,0.0375429697879199,0.33595592176492683,71
33,0.2626973617577172,0.08955025970759378,70
34,0.28900329945256037,0.06649752732667119,72
35,0.04985049641705597,0.30855792449512354,73
36,0.11287694193065406,0.2364013914113644,63
37,0.24870358915575433,0.1131222710923213,71
38,0.014343847456007178,0.4525458587525115,82
39,0.22277393899602338,0.13646061228851766,76
40,0.2671885343547234,0.08542474212580099,70
41,0.11516478951650704,0.2271262760819964,67
42,0.22760078074983703,0.13397397339376707,76
43,0.01711876247467927,0.44397450027706736,74
44,0.2172999879099755,0.13885417788103985,81
45,0.11878763268423953,0.22074756444105073,64
46,0.14413410437978627,0.21246730472808315,64
47,0.28949877369679505,0.056810283267952254,67
48,0.12258420193861848,0.2173750131300041,61
49,0.04075789422536707,0.32824749451634966,77
50,0.27262415726304995,0.07144281673659776,71
51,0.1019305776229295,0.2425956173698641,71
52,0.2995721557168531,0.05121698899192758,65
53,0.27615085907485776,0.06988898137248696,71
54,0.1055897802639369,0.24058530300534495,71
55,0.0486956643285976,0.31458495162793176,74
56,0.2090322714274909,0.15829980460843363,75
57,0.013225424184778753,0.45917648086211127,80
58,0.2949225612985206,0.05361161769715192,69
59,0.14514910570155215,0.2055670615136297,64
60,0.016165002623180488,0.4468098171811489,77
61,0.11272933538478531,0.24055763558091323,70
62,0.03237676502761042,0.347492688447456,75
63,0.04611093294256733,0.3243470181892342,74
64,0.0260311047509752,0.36630376358494204,75
65,0.30966678191055336,0.04266929131927216,70
66,0.20559424294695608,0.1583544797156279,80
67,0.1347457932994054,0.21325286499079862,58
68,0.20443273861345457,0.1644219374570158,76
69,0.38747283430023116,0.01888184665095624,59
70,0.13870228717843822,0.2131797229135941,59
71,0.11783583711048945,0.22676979411403766,60
72,0.3210073012875952,0.03215530290268075,69
73,0.12971115851790968,0.2148981254807962,64
74,0.28202007978635807,0.06797832090070902,71
75,0.316904784074331,0.034075981989358066,68
76,0.04099244191674971,0.3260378388485923,75
77,0.1467880107395322,0.20367341315626555,63
78,0.2658026371980799,0.08757087682585679,73
79,0.2922907825261018,0.056096643842998804,70
80,0.03718711635818007,0.34271968467044195,66
81,0.3116707762808082,0.03922316985272959,70
82,0.17167108669652112,0.19612984295539948,60
83,0.2837851508285487,0.06794028416796719,71
84,0.03666383741245404,0.3438535390382911,71
85,0.23426378356510483,0.12977697368198124,73
86,0.3017660643503837,0.04765564940517011,70
87,0.046832406882426646,0.31873605679137257,76
88,0.3080959808974297,0.04636243203089108,70
89,0.025717584798885643,0.3715946848511606,76
90,0.232900063881738,0.1318854251758181,75
91,0.31379335996575897,0.03430734851298554,69
92,0.04979924382333454,0.30912089724790864,74
93,0.31270628024053687,0.037198863843868266,68
94,0.20294091377308487,0.16608683940016436,79
95,0.12764348327700314,0.2160488096869911,59
96,0.04623939432684535,0.31989660203977704,73
97,0.30579941224628215,0.04658719151541713,68
98,0.3032646892725408,0.047046871487072324,69
99,0.024769820026607357,0.37274347121166235,70
