,lux,temperature,humidity,ACPower,appPower,lightPower
Unnamed: 0,11.0,11.0,11.0,11.0,11.0,11.0
Floor4Z5,0.14,0.03,0.08,0.07,0.36,0.06
Floor4Z4,0.07,0.02,0.08,0.05,0.22,0.05
Floor2Z2,0.09,0.06,0.13,0.24,0.25,0.09
Floor6Z4,0.14,0.04,0.1,0.06,0.26,0.09
Floor6Z5,0.1,0.04,0.09,0.12,0.3,0.09
Floor2Z1,0.08,0.07,0.11,0.25,0.14,0.05
Floor6Z1,0.12,0.04,0.08,0.04,0.25,0.13
Floor4Z2,0.06,0.02,0.11,0.05,0.44,0.04
Floor2Z4,0.09,0.06,0.12,0.26,0.66,0.06
Floor6Z2,0.27,0.03,0.08,0.06,0.19,0.32
Floor4Z1,0.08,0.03,0.08,0.06,0.16,0.05
Floor7Z4,0.07,0.03,0.09,0.08,0.35,0.03
Floor3Z1,0.11,0.03,0.08,0.04,0.26,0.03
Floor7Z5,0.08,0.03,0.08,0.09,0.63,0.05
Floor5Z5,0.07,0.05,0.12,0.05,0.13,0.04
Floor3Z2,0.07,0.04,0.09,0.05,0.17,0.03
Floor5Z4,0.17,0.03,0.09,0.06,0.17,0.04
Floor7Z2,0.08,0.05,0.08,0.09,0.5,0.14
Floor5Z1,0.15,0.03,0.13,0.06,0.2,0.08
Floor7Z1,0.64,0.05,0.12,0.08,0.36,0.08
Floor3Z5,0.08,0.03,0.1,0.07,0.18,0.05
Floor3Z4,0.09,0.03,0.11,0.06,0.23,0.03
Floor5Z2,0.08,0.03,0.09,0.07,0.29,0.04
