,Unnamed: 0,ACPower,lightPower,appPower,temperature,humidity,lux
Floor4Z5,2.5,0.36,0.18,0.35,0.23,0.46,0.17
Floor4Z4,2.5,0.28,0.25,0.29,0.24,0.53,0.24
Floor2Z2,2.5,0.08,0.07,0.15,0.11,0.36,0.06
Floor6Z4,2.5,0.26,0.17,0.27,0.22,0.41,0.21
Floor6Z5,2.5,0.47,0.22,0.26,0.23,0.58,0.23
Floor2Z1,2.5,0.15,0.14,0.13,0.18,0.53,0.15
Floor6Z1,2.5,0.26,0.23,0.25,0.29,0.37,0.22
Floor4Z2,2.5,0.34,0.27,0.48,0.25,0.59,0.25
Floor2Z4,2.5,0.33,0.31,0.73,0.33,0.66,0.31
Floor6Z2,2.5,0.36,0.28,0.22,0.28,0.38,0.3
Floor4Z1,2.5,0.28,0.24,0.19,0.2,0.53,0.26
Floor7Z4,2.5,0.28,0.21,0.28,0.23,0.41,0.2
Floor3Z1,2.5,0.32,0.23,0.38,0.24,0.45,0.26
Floor7Z5,2.5,0.44,0.38,0.71,0.34,0.61,0.36
Floor5Z5,2.5,0.43,0.26,0.29,0.31,0.64,0.26
Floor3Z2,2.5,0.35,0.25,0.27,0.29,0.4,0.27
Floor5Z4,2.5,0.33,0.36,0.31,0.3,0.58,0.3
Floor7Z2,2.5,0.31,0.3,0.59,0.33,0.61,0.23
Floor5Z1,2.5,0.23,0.2,0.19,0.15,0.45,0.22
Floor7Z1,2.5,0.34,0.28,0.43,0.31,0.65,0.48
Floor3Z5,2.5,0.42,0.25,0.27,0.28,0.63,0.24
Floor3Z4,2.5,0.34,0.23,0.25,0.22,0.61,0.22
Floor5Z2,2.5,0.29,0.19,0.28,0.19,0.35,0.19
